Row, Sol
1175, 5.920129e-05
1176, 3.250188e-05
1177, 1.513712e-05
1178, 6.236714e-06
1179, 2.335320e-06
1180, 8.096520e-07
1181, 2.634557e-07
1182, 8.129459e-08
1183, 2.398264e-08
1184, 6.808955e-09
1185, 1.870643e-09
1186, 4.996209e-10
1187, 1.302440e-10
1188, 3.325407e-11
1189, 8.341027e-12
1190, 2.060844e-12
1191, 5.027496e-13
1192, 1.213536e-13
1193, 2.903737e-14
1194, 6.898879e-15
1195, 1.629828e-15
1196, 3.833452e-16
1197, 8.986454e-17
1198, 2.101499e-17
1199, 4.906094e-18
1200, 1.144111e-18
1201, 2.666321e-19
1202, 6.243650e-20
1203, 4.241440e-21
1204, 2.365616e-19
1205, 5.170553e-19
1206, -5.513143e-16
1207, 5.936511e-14
1208, 1.916177e-12
1209, 1.646396e-11
1210, 4.467382e-11
1211, 7.201167e-11
1212, 8.420934e-11
1213, 7.867033e-11
1214, 6.211151e-11
1215, 4.298700e-11
1216, 2.675721e-11
1217, 1.526554e-11
1218, 8.100044e-12
1219, 4.043999e-12
1220, 1.917826e-12
1221, 8.708321e-13
1222, 3.811798e-13
1223, 1.617861e-13
1224, 6.692582e-14
1225, 2.710467e-14
1226, 1.078984e-14
1227, 4.236586e-15
1228, 1.645703e-15
1229, 6.340494e-16
1230, 2.427857e-16
1231, 9.253840e-17
1232, 3.514394e-17
1233, 1.330386e-17
1234, 5.018824e-18
1235, 1.893003e-18
1236, -6.642921e-06
1237, 5.374433e-06
1238, 2.395159e-05
1239, 3.042774e-05
1240, 2.493215e-05
1241, 1.574050e-05
1242, 8.294342e-06
1243, 3.817574e-06
1244, 1.580166e-06
1245, 6.002235e-07
1246, 2.123528e-07
1247, 7.077205e-08
1248, 2.241913e-08
1249, 6.799760e-09
1250, 1.986628e-09
1251, 5.619702e-10
1252, 1.545948e-10
1253, 4.151653e-11
1254, 1.092059e-11
1255, 2.821968e-12
1256, 7.182443e-13
1257, 1.804723e-13
1258, 4.485959e-14
1259, 1.105070e-14
1260, 2.702089e-15
1261, 6.567230e-16
1262, 1.588363e-16
1263, 3.826801e-17
1264, 9.191811e-18
1265, 2.202605e-18
1266, 5.268253e-19
1267, 1.259927e-19
1268, 2.566062e-20
1269, 7.320752e-20
1270, 1.731729e-18
1271, -2.408403e-16
1272, 1.773156e-14
1273, 5.919170e-13
1274, 5.058450e-12
1275, 1.430093e-11
1276, 2.411931e-11
1277, 2.948590e-11
1278, 2.874061e-11
1279, 2.362165e-11
1280, 1.698070e-11
1281, 1.095512e-11
1282, 6.465345e-12
1283, 3.542346e-12
1284, 1.823206e-12
1285, 8.900788e-13
1286, 4.155246e-13
1287, 1.867913e-13
1288, 8.134388e-14
1289, 3.449808e-14
1290, 1.431494e-14
1291, 5.835714e-15
1292, 2.345722e-15
1293, 9.326039e-16
1294, 3.677122e-16
1295, 1.440940e-16
1296, 5.621086e-17
1297, 2.185206e-17
1298, 8.469429e-18
1299, 3.272005e-18
1300, 1.265266e-18
1301, -2.014265e-06
1302, 4.727449e-07
1303, 6.535572e-06
1304, 1.028326e-05
1305, 9.832344e-06
1306, 7.072144e-06
1307, 4.181923e-06
1308, 2.135345e-06
1309, 9.714099e-07
1310, 4.023296e-07
1311, 1.541386e-07
1312, 5.529503e-08
1313, 1.875451e-08
1314, 6.061662e-09
1315, 1.879286e-09
1316, 5.619827e-10
1317, 1.628753e-10
1318, 4.594002e-11
1319, 1.265634e-11
1320, 3.416614e-12
1321, 9.063230e-13
1322, 2.368409e-13
1323, 6.110526e-14
1324, 1.559539e-14
1325, 3.944147e-15
1326, 9.899097e-16
1327, 2.468770e-16
1328, 6.124641e-17
1329, 1.512830e-17
1330, 3.723325e-18
1331, 9.135993e-19
1332, 2.236767e-19
1333, 5.291763e-20
1334, 2.471466e-20
1335, 1.253260e-18
1336, -9.773997e-17
1337, 5.207199e-15
1338, 1.823704e-13
1339, 1.557202e-12
1340, 4.576050e-12
1341, 8.054616e-12
1342, 1.027021e-11
1343, 1.042284e-11
1344, 8.901009e-12
1345, 6.634844e-12
1346, 4.429802e-12
1347, 2.700568e-12
1348, 1.525883e-12
1349, 8.086724e-13
1350, 4.059593e-13
1351, 1.946472e-13
1352, 8.977488e-14
1353, 4.007618e-14
1354, 1.741012e-14
1355, 7.395838e-15
1356, 3.085241e-15
1357, 1.268623e-15
1358, 5.158600e-16
1359, 2.080119e-16
1360, 8.336482e-17
1361, 3.326310e-17
1362, 1.322880e-17
1363, 5.246505e-18
1364, 2.074578e-18
1365, 8.221078e-19
1366, -5.896922e-07
1367, -1.695434e-07
1368, 1.663445e-06
1369, 3.306495e-06
1370, 3.674759e-06
1371, 2.991473e-06
1372, 1.972222e-06
1373, 1.110782e-06
1374, 5.526089e-07
1375, 2.484923e-07
1376, 1.027166e-07
1377, 3.953885e-08
1378, 1.431961e-08
1379, 4.920497e-09
1380, 1.615470e-09
1381, 5.097782e-10
1382, 1.554087e-10
1383, 4.597368e-11
1384, 1.324869e-11
1385, 3.732113e-12
1386, 1.030790e-12
1387, 2.798873e-13
1388, 7.488994e-14
1389, 1.978785e-14
1390, 5.172552e-15
1391, 1.339786e-15
1392, 3.443407e-16
1393, 8.791692e-17
1394, 2.232102e-17
1395, 5.639788e-18
1396, 1.419049e-18
1397, 3.557789e-19
1398, 8.831842e-20
1399, 1.942621e-20
1400, 6.955304e-19
1401, -3.765796e-17
1402, 1.500484e-15
1403, 5.605031e-14
1404, 4.802035e-13
1405, 1.463905e-12
1406, 2.683208e-12
1407, 3.560984e-12
